name,family,path,sha256,decision,evidence,next_action,behavioral_quality,version_timestamp
startup-validator,Sales and business development,/Users/newmindsgroup/.agents/skills/startup-validator/SKILL.md,6ae854a0f595526caa0dc07452d5f1558e0a9e8e0a046433c0a4a8fe27bd0432,do not promote helper,"Synthetic probes show high-confidence decisions with no evidence or a single factor, plus division by zero.",Use evidence-linked research and explicit assumptions; do not use this score as decision authority.,not established except named helper probes,2026-09-14 19:26:41 AST
canon-pricing-economics,Sales and business development,/Users/newmindsgroup/.codex/skills/canon-pricing-economics/SKILL.md,5d7c6dc6ffa213a6f3e2b320861c6306f3ad53b6b60cabaa39a5334fda825a7f,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
canon-pricing-economics,Sales and business development,/Users/newmindsgroup/.agents/skills/canon-pricing-economics/SKILL.md,5d7c6dc6ffa213a6f3e2b320861c6306f3ad53b6b60cabaa39a5334fda825a7f,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
customer-research,Customer and market research,/Users/newmindsgroup/.codex/skills/customer-research/SKILL.md,e61f3b6fe3e766cf8309c20ed14f25e56b24c7f3fdcde14292751d31066e8f73,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
continuous-discovery,Customer and market research,/Users/newmindsgroup/.agents/skills/continuous-discovery/SKILL.md,f653597364c00755dc92090b107d13b7b3980469d84d34e403c012ae596102b9,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
jtbd-building,Customer and market research,/Users/newmindsgroup/.agents/skills/jtbd-building/SKILL.md,1b0751ef4325a340798123ec431ebddf17b3ca2579e02ddc13638081dc7c1a23,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
customer-support,Customer and market research,/Users/newmindsgroup/.codex/skills/customer-support/SKILL.md,57c45bbf348adefd8385f4d11d378da482ea49f37d0dca205e502f9deaf50add,repair before promotion,Missing resources/implementation-playbook.md and mostly broad capability statements.,"Keep support capability, but require a concrete scoped workflow and verified knowledge sources.",not established except named helper probes,2026-09-14 19:26:41 AST
user-feedback-system,Customer and market research,/Users/newmindsgroup/.agents/skills/user-feedback-system/SKILL.md,678ba64aa8540126e8f65c63b336120944e2fe8459718ef3dda7dc204b7bc034,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
ux-feedback,Customer and market research,/Users/newmindsgroup/.codex/skills/ux-feedback/SKILL.md,71e823ad187dea7b5b0128d25f127532fb220c454aa9a154f882ea2990672483,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
product-marketing-context,Marketing and growth,/Users/newmindsgroup/.codex/skills/product-marketing-context/SKILL.md,e80bbfe3c243ccc39f238dc9bc64ec4a4f9ff0af366a5b17081b92bac69902e4,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
content-strategy,Marketing and growth,/Users/newmindsgroup/.codex/skills/content-strategy/SKILL.md,bfaf5c1a7c492a57a236ef993c21b9858bc57e080d301f3a4e3969d53730d13e,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
content-strategy,Marketing and growth,/Users/newmindsgroup/.agents/skills/content-strategy/SKILL.md,696b5bcee0fda203f0d2426c987b707c0a84a74dba1db6ece3c0dc1691426b25,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
content-development,Marketing and growth,/Users/newmindsgroup/.codex/skills/content-development/SKILL.md,67cc9495b9704cc39d724a62167b9c8e57b212ae3019d1dc04e4f4bb884e48e5,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
content-development,Marketing and growth,/Users/newmindsgroup/.agents/skills/content-development/SKILL.md,4f1c50e802134235aae6fb2c4546fdd7de467e7432d8fed34c4d2b3d0f6b17ae,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
copywriting,Marketing and growth,/Users/newmindsgroup/.codex/skills/copywriting/SKILL.md,ea235862bd0c7ddbdfc06a50d6dcfd3fd8c48c6eb3a796078cc32093cec7e59f,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
copywriting,Marketing and growth,/Users/newmindsgroup/.agents/skills/copywriting/SKILL.md,fec6641c3b2af8aa71f10450200cf10a24bd8abe197432cb53ab5b706cf0a72c,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
copy-editing,Marketing and growth,/Users/newmindsgroup/.codex/skills/copy-editing/SKILL.md,eb170d68e5a0d9f75e0e34d70dfcebd93f96f50f0616ca217422590c14d84795,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
copy-editing,Marketing and growth,/Users/newmindsgroup/.agents/skills/copy-editing/SKILL.md,ad0a288c960d0b579fb44a379acb96c325102d9aafce5f3a8510ed4ef785151d,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
email-sequence,Marketing and growth,/Users/newmindsgroup/.codex/skills/email-sequence/SKILL.md,db16dbde4f8c0ce35a822af22baa6009a1a6d93cf19444a642a7548b1c4e492f,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
email-sequence,Marketing and growth,/Users/newmindsgroup/.agents/skills/email-sequence/SKILL.md,a5de6dbb7922a1519720356a04d4556ac918da1c9be5ec3ead6f7e5db02f19cf,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
social-content,Marketing and growth,/Users/newmindsgroup/.codex/skills/social-content/SKILL.md,d483100c8142bf99186983eaba70660b2c6ece5d763dd7301f0140fedc3f3068,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
ad-creative,Marketing and growth,/Users/newmindsgroup/.codex/skills/ad-creative/SKILL.md,e6ed48c6b1239a3969ee4a1cd586e7bc3357d36a27c5f1af800a889dbf5fbea5,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
paid-ads,Marketing and growth,/Users/newmindsgroup/.codex/skills/paid-ads/SKILL.md,8f6a286a6f31b394ee111ef0098fc0747a5c17d6eb3d0543e8fdc11338ebf6cc,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
launch-strategy,Marketing and growth,/Users/newmindsgroup/.codex/skills/launch-strategy/SKILL.md,5d603157a784f42521128334d68904c00f62a0b7ee92dceb7b182473d5e9a8a1,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
marketing-ideas,Marketing and growth,/Users/newmindsgroup/.codex/skills/marketing-ideas/SKILL.md,7547d76ceed205104e38f4bd58872e29fc363e8d7a9de481f04d8716111b943d,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
marketing-psychology,Marketing and growth,/Users/newmindsgroup/.codex/skills/marketing-psychology/SKILL.md,f02553dd64733891481ac1df303d34e0773259c970cfc61b7a5e95da158f308a,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
page-cro,Marketing and growth,/Users/newmindsgroup/.codex/skills/page-cro/SKILL.md,60db341ae3a52ecd6521bdbb3741e22b20197ec130c61728cbbb7c1951988c9c,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
form-cro,Marketing and growth,/Users/newmindsgroup/.codex/skills/form-cro/SKILL.md,fca15bc73d63197f6f275d4ff85e03b3ad94697d34678e3e2c6c1030ab57fb96,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
signup-flow-cro,Marketing and growth,/Users/newmindsgroup/.codex/skills/signup-flow-cro/SKILL.md,81c828d3447d04dfc56609abfab27ffbd1c197b411f50e7a1816c1b764a479d0,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
onboarding-cro,Marketing and growth,/Users/newmindsgroup/.codex/skills/onboarding-cro/SKILL.md,bd117008013b76da92092a17492c9b80accaf28101cbd7b470edfbd6f71ebe9c,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
popup-cro,Marketing and growth,/Users/newmindsgroup/.codex/skills/popup-cro/SKILL.md,fd3f78e026ba01a2baf729ed1f8bbf6bf8573fe2ac5a41fbbe9222c5175751ea,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
popup-cro,Marketing and growth,/Users/newmindsgroup/.agents/skills/popup-cro/SKILL.md,ca8002596721c8477d749d3d7ce135a3e56d935ba6bcd8140655b607d8fcf706,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
free-tool-strategy,Marketing and growth,/Users/newmindsgroup/.codex/skills/free-tool-strategy/SKILL.md,79807fd29ef450ca9e918c8e0caa72a51deb4ec46e2e438fa8aee79804572a0e,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
free-tool-strategy,Marketing and growth,/Users/newmindsgroup/.agents/skills/free-tool-strategy/SKILL.md,4615a6f2457ce989675b544aac7c0cc05882c27f399e8ea821ca6fc224297fcd,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
churn-prevention,Marketing and growth,/Users/newmindsgroup/.codex/skills/churn-prevention/SKILL.md,4f6f8aed806bab1905fe9b53b8e841d7c2b4532724920762601dcce34ceb089c,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
seo-audit,SEO and discovery,/Users/newmindsgroup/.codex/skills/seo-audit/SKILL.md,f3280a44acae9d138570e742db51076e3e9d9e1c9c7673dbb992693cc27f9d00,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
seo-audit,SEO and discovery,/Users/newmindsgroup/.agents/skills/seo-audit/SKILL.md,a46ff13900e4ac3d1cf89abccd42e64de23cb4f0132bffb49cf958583b0a26c6,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
local-seo,SEO and discovery,/Users/newmindsgroup/.codex/skills/local-seo/SKILL.md,e98ac8d3bf1234bf962652d8fec4cb4977ec194a982638cc1b081064a432b462,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
ai-seo,SEO and discovery,/Users/newmindsgroup/.codex/skills/ai-seo/SKILL.md,5cfbdc78e0c23974dbfd3c02ad55e1d733ee774ea1acc7e1d67f43364b8e2f27,repair before promotion,Both copies reference missing ../../tools/REGISTRY.md.,Keep analysis guidance conditionally; tool integration path needs correction.,not established except named helper probes,2026-09-14 19:26:41 AST
ai-seo,SEO and discovery,/Users/newmindsgroup/.agents/skills/ai-seo/SKILL.md,c0498ef9a5cd70d7a67d7872b33151054d0b081e6cdd0fe1174523d826290e19,repair before promotion,Both copies reference missing ../../tools/REGISTRY.md.,Keep analysis guidance conditionally; tool integration path needs correction.,not established except named helper probes,2026-09-14 19:26:41 AST
programmatic-seo,SEO and discovery,/Users/newmindsgroup/.codex/skills/programmatic-seo/SKILL.md,a3d3cbea45e8de2f6bdf2b50276d1405778c42da743d9c868ea559b7840ecae2,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
programmatic-seo,SEO and discovery,/Users/newmindsgroup/.agents/skills/programmatic-seo/SKILL.md,0b08af0119714cf0ca7eb958c267810dfc2e75f3c91efc8a6bf33bf2b946fc15,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
schema-markup,SEO and discovery,/Users/newmindsgroup/.codex/skills/schema-markup/SKILL.md,728f221b25d062afe204f3980d46db4800ac05f9fb68fd2cdcc8e7bfa7b68e79,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
schema-markup,SEO and discovery,/Users/newmindsgroup/.agents/skills/schema-markup/SKILL.md,19824491f8ce193b9cc720c58f6829f03cdef660eca0f5ca8da2d9f1e4b68b2d,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
site-architecture,SEO and discovery,/Users/newmindsgroup/.codex/skills/site-architecture/SKILL.md,4e89403300d7fc9f11c26e13091d9d437ddf1c5571fb91104965db53e04e33bd,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
seo-technical,SEO and discovery,/Users/newmindsgroup/.codex/skills/seo-technical/SKILL.md,536be93eb00a677f04e3f3b8ffee323ed477b313bf44774217880b73d42208ef,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
seo-content-planner,SEO and discovery,/Users/newmindsgroup/.codex/skills/seo-content-planner/SKILL.md,77a69dab849cbf2c534966800904da483cfee4beb0d7ef069c0873414d98cd7f,repair before promotion,Referenced resources/implementation-playbook.md is missing.,Compare content-strategy and existing design-web-content-strategy scope.,not established except named helper probes,2026-09-14 19:26:41 AST
seo-content-refresher,SEO and discovery,/Users/newmindsgroup/.codex/skills/seo-content-refresher/SKILL.md,7c16f7047f6ef94294b63314da8ca46b4a097e19c677515d05841bff22a66179,repair before promotion,Referenced resources/implementation-playbook.md is missing.,Compare copy-editing with SEO evidence requirements; retain unique refresh logic if present.,not established except named helper probes,2026-09-14 19:26:41 AST
seo-competitor-pages,SEO and discovery,/Users/newmindsgroup/.codex/skills/seo-competitor-pages/SKILL.md,694557811ec5ba82fe9bde3d0e6acc61b736e08c5fe06fabb04e502376d2d938,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
brand-brain,Brand and design,/Users/newmindsgroup/.codex/skills/brand-brain/SKILL.md,7d4b92247412d3da34aa379be0627bc295ff41eb098362bbf6577da3ef3d1381,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
brand-brain,Brand and design,/Users/newmindsgroup/.agents/skills/brand-brain/SKILL.md,a2812af382f27bda5894de720b3483bfc3ce82838150989c0a0d1a4d72e3e7db,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
brand-ssot-precedence,Brand and design,/Users/newmindsgroup/.agents/skills/brand-ssot-precedence/SKILL.md,4b4fe3f2af764ab4fbd3ecbc7cdea88ec05faf5ce9e47ea8a0d24318e0147ccf,"preserve rule, repair link",Missing ../../runbooks/agent-operating-principles.md at alias and resolved source locations.,Preserve mandatory precedence rule; repair reference in maintained source.,not established except named helper probes,2026-09-14 19:26:41 AST
frontend-design,Brand and design,/Users/newmindsgroup/.codex/skills/frontend-design/SKILL.md,3b290488b09ae56b658478ab7f97b102c6b738d85b87640187308d00f19b00a9,reconcile alternatives,Two substantially different aesthetic policies; shared copy invents a prior client rejection in its role framing.,Prefer project-specific Visual Design entry points pending blind output comparison; preserve canon.,not established except named helper probes,2026-09-14 19:26:41 AST
frontend-design,Brand and design,/Users/newmindsgroup/.agents/skills/frontend-design/SKILL.md,1608ea77fbb6fc30d13a97d12cfa8ebf31358d40f0dd97beed24829d6b3f45dd,reconcile alternatives,Two substantially different aesthetic policies; shared copy invents a prior client rejection in its role framing.,Prefer project-specific Visual Design entry points pending blind output comparison; preserve canon.,not established except named helper probes,2026-09-14 19:26:41 AST
responsive-design,Brand and design,/Users/newmindsgroup/.codex/skills/responsive-design/SKILL.md,8b689182b1366494c299b926d08495fa49ee507f9dcb8b7e99d2c94617aa5940,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
design-system,Brand and design,/Users/newmindsgroup/.codex/skills/design-system/SKILL.md,f772e0ef1583c5ef1a82fd8ce671d91f8bcbce40ba248aa23fe9156d38155da8,"preserve method, repair link",Missing compatibility alias frontend-design-system. Core references exist.,Do not fail the entire skill for an optional alias; remove or fix alias after caller review.,not established except named helper probes,2026-09-14 19:26:41 AST
figma-implement-design,Brand and design,/Users/newmindsgroup/.codex/skills/figma-implement-design/SKILL.md,63f3d12d444547bbf68c10a12982b1f42e0f6e26fc074324564a13184d4b15ad,prefer current plugin candidate,Standalone Code Connect route points to missing sibling. Figma tools are present in current registry.,Compare current Figma plugin instructions and validate actual task inputs; registry presence is not authenticated execution proof.,not established except named helper probes,2026-09-14 19:26:41 AST
imagegen,Brand and design,/Users/newmindsgroup/.codex/skills/.system/imagegen/SKILL.md,681ddb4ad6d06a2acc78a3535b583f8d0c1ea800ecda3d56370d3310fd2cd4ba,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
remotion,Brand and design,/Users/newmindsgroup/.codex/skills/remotion/SKILL.md,024c95b850c48f9fd8bbb7f24fa3882ff1dc9befc92743f2ef9e36ce3fb342ea,repair before promotion,Referenced resources/composition-checklist.md is missing.,Compare remotion-best-practices and installed media capabilities before choosing a replacement.,not established except named helper probes,2026-09-14 19:26:41 AST
accessibility-compliance-accessibility-audit,Brand and design,/Users/newmindsgroup/.codex/skills/accessibility-compliance-accessibility-audit/SKILL.md,f0c76db2ccf2f2a0acca2f3384177eadbba83a499589d0b347914819210bd77a,"retain candidate, output evaluation pending",Useful declared scope; structural checks alone cannot establish superior output.,Complete full instruction/resource review and task-level comparison before canonical promotion.,not established except named helper probes,2026-09-14 19:26:41 AST
product-manager,Product strategy and measurement,/Users/newmindsgroup/.codex/skills/product-manager/SKILL.md,817af48cf5bf249b5d79747a3b75a6feb034ac730fe8f7b45ad5434118251619,deprioritize wrapper,"Claims 12 built-in templates and exact formulas, but installed folder contains only SKILL.md and no templates.","Prefer concrete methods/templates after checking them, rather than this capability inventory.",not established except named helper probes,2026-09-14 19:26:41 AST
