name,path,enabled,plugin_id,family,decision,classification_basis,version_timestamp
amazon-alexa,/Users/newmindsgroup/.codex/skills/amazon-alexa/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
analytics-product,/Users/newmindsgroup/.codex/skills/analytics-product/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
analytics-tracking,/Users/newmindsgroup/.codex/skills/analytics-tracking/SKILL.md,True,,Product strategy and measurement,Retain: provisional daily scope,"Marketing and writing: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
analyze-project,/Users/newmindsgroup/.codex/skills/analyze-project/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
android-jetpack-compose-expert,/Users/newmindsgroup/.codex/skills/android-jetpack-compose-expert/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
android_ui_verification,/Users/newmindsgroup/.codex/skills/android_ui_verification/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
angular,/Users/newmindsgroup/.codex/skills/angular/SKILL.md,False,,Unclassified: review required,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
angular-best-practices,/Users/newmindsgroup/.codex/skills/angular-best-practices/SKILL.md,False,,Unclassified: review required,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
angular-migration,/Users/newmindsgroup/.codex/skills/angular-migration/SKILL.md,False,,Unclassified: review required,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
angular-state-management,/Users/newmindsgroup/.codex/skills/angular-state-management/SKILL.md,False,,Unclassified: review required,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
angular-ui-patterns,/Users/newmindsgroup/.codex/skills/angular-ui-patterns/SKILL.md,False,,UX and UI,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
animejs-animation,/Users/newmindsgroup/.codex/skills/animejs-animation/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
api-design-principles,/Users/newmindsgroup/.claude/skills/api-design-principles/SKILL.md,False,,Brand and visual design,Disabled: preserve source for rollback or project use,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
api-design-principles,/Users/newmindsgroup/.codex/skills/api-design-principles/SKILL.md,True,,Brand and visual design,Retain: provisional daily scope,"Web and app engineering: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
api-documentation,/Users/newmindsgroup/.codex/skills/api-documentation/SKILL.md,False,,Web and app engineering,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
api-documentation-generator,/Users/newmindsgroup/.codex/skills/api-documentation-generator/SKILL.md,False,,Web and app engineering,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
api-documenter,/Users/newmindsgroup/.codex/skills/api-documenter/SKILL.md,False,,Web and app engineering,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
api-endpoint-builder,/Users/newmindsgroup/.codex/skills/api-endpoint-builder/SKILL.md,False,,Web and app engineering,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
api-patterns,/Users/newmindsgroup/.codex/skills/api-patterns/SKILL.md,True,,Web and app engineering,Retain: provisional daily scope,Direct literal dependency of retained workflow; preserve pending dependency review,2026-09-15T21:32:35.852770-04:00
api-security-best-practices,/Users/newmindsgroup/.claude/skills/api-security-best-practices/SKILL.md,True,,Web and app engineering,Retain: provisional daily scope,"Web and app engineering: provisional daily coverage, not full quality certification",2026-09-15T21:32:35.852770-04:00
apify-actor-development,/Users/newmindsgroup/.codex/skills/apify-actor-development/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-actorization,/Users/newmindsgroup/.codex/skills/apify-actorization/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-audience-analysis,/Users/newmindsgroup/.codex/skills/apify-audience-analysis/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-brand-reputation-monitoring,/Users/newmindsgroup/.codex/skills/apify-brand-reputation-monitoring/SKILL.md,False,,Brand and visual design,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-competitor-intelligence,/Users/newmindsgroup/.codex/skills/apify-competitor-intelligence/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-content-analytics,/Users/newmindsgroup/.codex/skills/apify-content-analytics/SKILL.md,False,,"Marketing, sales and content",Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-ecommerce,/Users/newmindsgroup/.codex/skills/apify-ecommerce/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-influencer-discovery,/Users/newmindsgroup/.codex/skills/apify-influencer-discovery/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-lead-generation,/Users/newmindsgroup/.codex/skills/apify-lead-generation/SKILL.md,False,,"Marketing, sales and content",Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-market-research,/Users/newmindsgroup/.codex/skills/apify-market-research/SKILL.md,False,,"Marketing, sales and content",Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-trend-analysis,/Users/newmindsgroup/.codex/skills/apify-trend-analysis/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
apify-ultimate-scraper,/Users/newmindsgroup/.codex/skills/apify-ultimate-scraper/SKILL.md,False,,Unclassified: review required,Disabled: outside compact daily scope; recoverable,"Outside compact daily allowlist: specialist, optional or overlapping workflow; restore per project need",2026-09-15T21:32:35.852770-04:00
app-69312da8e4dc81919370cb86fd172b6c:adobe-batch-edit-photos,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-batch-edit-photos/SKILL.md,True,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-69312da8e4dc81919370cb86fd172b6c:adobe-create-mockups,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-create-mockups/SKILL.md,True,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-69312da8e4dc81919370cb86fd172b6c:adobe-create-social-variations,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-create-social-variations/SKILL.md,True,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,"Marketing, sales and content",Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-69312da8e4dc81919370cb86fd172b6c:adobe-design-from-template,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-design-from-template/SKILL.md,True,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Brand and visual design,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-69312da8e4dc81919370cb86fd172b6c:adobe-edit-quick-cut,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-edit-quick-cut/SKILL.md,True,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-69312da8e4dc81919370cb86fd172b6c:adobe-retouch-portraits,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-69312da8e4dc81919370cb86fd172b6c/8.0.0/skills/adobe-retouch-portraits/SKILL.md,True,app-69312da8e4dc81919370cb86fd172b6c@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:ad-multiplier,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ad-multiplier/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,"Marketing, sales and content",Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:ai-host-video,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ai-host-video/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:faceless-video,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/faceless-video/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:higgsfield,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/higgsfield/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:motion-craft,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/motion-craft/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:narrator,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/narrator/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:product-photoshoot,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/product-photoshoot/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,"Business, finance and strategy",Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:subtitles,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/subtitles/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:thumbnail-generation,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/thumbnail-generation/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,Unclassified: review required,Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
app-6a3293e129088191abf0875820e839da:ugc-product-video,/Users/newmindsgroup/.codex/plugins/cache/openai-curated-remote/app-6a3293e129088191abf0875820e839da/2.0.0/skills/ugc-product-video/SKILL.md,True,app-6a3293e129088191abf0875820e839da@openai-curated-remote,"Business, finance and strategy",Unreviewed: no keep verdict yet,Prior reviewed shortlist when matched; otherwise name-based triage only,2026-09-15T21:32:35.852770-04:00
